=== ВАРИАНТ 1: вики-разметка (Confluence Server/Data Center) ===
В редакторе страницы: Вставить > Разметка > Confluence Wiki

h2. План работ по контракту № 0120200003326000021 от __________ (составлен 2026-09-05)

||Срок||Статус||Что сделать||Основание||Канал||
|2026-11-06|запланировано (44 р.д.)|Уведомить Заказчика о готовности к приемочным испытаниям, приложить Программу и методику приемочных испытаний (Заказчик согласует ПМИ и дату за 5 рабочих дней) (Этап 1)|ТЗ п. 4.2.4.1|официальное письмо + email|
|—|справочно · ждём событие|Приемка Заказчиком: подписание документа о приемке либо мотивированный отказ (5 рабочих дней с даты поступления документа о приемке в ЕИС) (Этап 1)|Контракт разд. 4|ЕИС|
|—|справочно · ждём событие|Приемка Заказчиком: подписание документа о приемке либо мотивированный отказ (5 рабочих дней с даты поступления документа о приемке в ЕИС) (Этап 2)|Контракт разд. 4|ЕИС|
|—|справочно · ждём событие|Приемка Заказчиком: подписание документа о приемке либо мотивированный отказ (5 рабочих дней с даты поступления документа о приемке в ЕИС) (Этап 3)|Контракт разд. 4|ЕИС|
|—|справочно · ждём событие|Приемка Заказчиком: подписание документа о приемке либо мотивированный отказ (5 рабочих дней с даты поступления документа о приемке в ЕИС) (Этап 4)|Контракт разд. 4|ЕИС|
|—|ждём событие|Устранить недостатки, указанные в мотивированном отказе, и повторно направить документ о приемке (срок устанавливает Заказчик, но не более 5 рабочих дней) (Этап 1)|Контракт разд. 4|ЕИС|
|—|ждём событие|Устранить недостатки, указанные в мотивированном отказе, и повторно направить документ о приемке (срок устанавливает Заказчик, но не более 5 рабочих дней) (Этап 2)|Контракт разд. 4|ЕИС|
|—|ждём событие|Устранить недостатки, указанные в мотивированном отказе, и повторно направить документ о приемке (срок устанавливает Заказчик, но не более 5 рабочих дней) (Этап 3)|Контракт разд. 4|ЕИС|
|—|ждём событие|Устранить недостатки, указанные в мотивированном отказе, и повторно направить документ о приемке (срок устанавливает Заказчик, но не более 5 рабочих дней) (Этап 4)|Контракт разд. 4|ЕИС|
|—|справочно · ждём событие|Оплата Заказчиком (7 рабочих дней с даты подписания документа о приемке) (Этап 1)|Контракт п. 3.4|—|
|—|справочно · ждём событие|Оплата Заказчиком (7 рабочих дней с даты подписания документа о приемке) (Этап 2)|Контракт п. 3.4|—|
|—|справочно · ждём событие|Оплата Заказчиком (7 рабочих дней с даты подписания документа о приемке) (Этап 3)|Контракт п. 3.4|—|
|—|справочно · ждём событие|Оплата Заказчиком (7 рабочих дней с даты подписания документа о приемке) (Этап 4)|Контракт п. 3.4|—|
|—|по необходимости|Письменно уведомить Заказчика о привлечении соисполнителей|Контракт разд. 7|официальное письмо|
|—|по необходимости|Устранить недостатки, выявленные в процессе оказания услуг, по требованию Заказчика (10 дней с момента получения требования, если срок не установлен)|Контракт разд. 8|официальное письмо|


=== ВАРИАНТ 2: markdown (Confluence Cloud) ===
В редакторе страницы: Вставить > Разметка > Markdown

## План работ по контракту № 0120200003326000021 от __________ (составлен 2026-09-05)

| Срок | Статус | Что сделать | Основание | Канал |
|---|---|---|---|---|
| 2026-11-06 | запланировано (44 р.д.) | Уведомить Заказчика о готовности к приемочным испытаниям, приложить Программу и методику приемочных испытаний (Заказчик согласует ПМИ и дату за 5 рабочих дней) (Этап 1) | ТЗ п. 4.2.4.1 | официальное письмо + email |
| 2026-11-13 | запланировано (49 р.д.) | Направить на ib@pkmiac.ru Заявку на подключение к ГИС СЗ ПК, Акт классификации ИС, Технический паспорт на ИС, Заключение по результатам соответствия требованиям по защите информации (или Акт оценки эффективности мер защиты) | ТЗ п. 4.2.1 | электронная почта |
| 2026-11-23 | запланировано (55 р.д.) | Уведомить Заказчика о готовности к приемочным испытаниям, приложить Программу и методику приемочных испытаний (Заказчик согласует ПМИ и дату за 5 рабочих дней) (Этап 2) | ТЗ п. 4.2.4.1 | официальное письмо + email |
| — | ждём событие | Передать Заказчику контактные данные ответственных представителей Исполнителя и адреса электронной почты для обмена документами | ТЗ п. 4.2.1 | официальное письмо |
| — | ждём событие | Заключить Договор поручения на обработку персональных данных по форме Приложения №3 к ТЗ | ТЗ п. 4.2.1 | официальное письмо |
| — | ждём событие | Уведомить Заказчика о выбранном способе оказания услуг (разработка ПО либо адаптация ПО) | ТЗ п. 4.2.3 | официальное письмо |
| — | по необходимости | Запросить у Заказчика исходные данные и документы, необходимые для оказания услуг (ответ Заказчика — 5 рабочих дней) | ТЗ п. 1.9, 4.2.4 | официальное письмо |
| — | по необходимости | Запросить доступ к предпродуктивному и продуктивному стендам РЦОД (Заказчик предоставляет за 3 рабочих дня) | ТЗ п. 4.2.3 | официальное письмо |
| — | ждём событие | Передать Заказчику методологию обезличивания персональных данных на предпродуктивном стенде (команды, скрипты, процедуры, перечень изменяемых объектов) | ТЗ п. 4.2.2 | официальное письмо |
| — | ждём событие | Направить в МИАЦ Соглашение об установлении межсетевого взаимодействия (ViPNet, схема подключения Г); по последующим контрактам — дополнительное соглашение к действующему Соглашению | ТЗ п. 4.2.1, Регламент подключения п. 3.2.5.2, п. 3.2.5.4 | официальное письмо |
| — | ждём событие | Направить Заказчику письмо с графиком проведения инструктажа и программой инструктажа (Заказчик согласует за 5 рабочих дней; молчание = согласовано) (Этап 1) | ТЗ п. 4.2.4 | официальное письмо |
| — | ждём событие | Направить Заказчику письмо с графиком проведения инструктажа и программой инструктажа (Заказчик согласует за 5 рабочих дней; молчание = согласовано) (Этап 2) | ТЗ п. 4.2.4 | официальное письмо |
| — | ждём событие | Уведомить Заказчика о составе работников Исполнителя, участвующих в приемочных испытаниях (об изменениях — не позднее 3 рабочих дней до даты испытаний) (Этап 1) | ТЗ п. 4.2.4.1 | официальное письмо |
| — | ждём событие | Уведомить Заказчика о составе работников Исполнителя, участвующих в приемочных испытаниях (об изменениях — не позднее 3 рабочих дней до даты испытаний) (Этап 2) | ТЗ п. 4.2.4.1 | официальное письмо |
| — | ждём событие | Направить Заказчику на согласование Протокол приемочных испытаний (Заказчик согласует за 2 рабочих дня) (Этап 1) | ТЗ п. 4.2.4.1 | официальное письмо |
| — | ждём событие | Направить Заказчику на согласование Протокол приемочных испытаний (Заказчик согласует за 2 рабочих дня) (Этап 2) | ТЗ п. 4.2.4.1 | официальное письмо |
| — | ждём событие | Направить официальное уведомление о готовности к сдаче услуг по этапу с приложением отчётной документации на email Заказчика и разместить подписанный документ о приемке в ЕИС (Этап 1) | ТЗ п. 6, Контракт п. 2.2 | email + ЕИС |
| — | ждём событие | Направить официальное уведомление о готовности к сдаче услуг по этапу с приложением отчётной документации на email Заказчика и разместить подписанный документ о приемке в ЕИС (Этап 2) | ТЗ п. 6, Контракт п. 2.2 | email + ЕИС |
| — | ждём событие | Направить официальное уведомление о готовности к сдаче услуг по этапу с приложением отчётной документации на email Заказчика и разместить подписанный документ о приемке в ЕИС (Этап 3) | ТЗ п. 6, Контракт п. 2.2 | email + ЕИС |
| — | ждём событие | Направить официальное уведомление о готовности к сдаче услуг по этапу с приложением отчётной документации на email Заказчика и разместить подписанный документ о приемке в ЕИС (Этап 4) | ТЗ п. 6, Контракт п. 2.2 | email + ЕИС |
| — | ждём событие | Передать отчётную документацию в бумажном виде в 2 экземплярах на официальный адрес Заказчика (Этап 1) | ТЗ п. 5 | бумага (почта/курьер) |
| — | ждём событие | Передать отчётную документацию в бумажном виде в 2 экземплярах на официальный адрес Заказчика (Этап 2) | ТЗ п. 5 | бумага (почта/курьер) |
| — | ждём событие | Передать отчётную документацию в бумажном виде в 2 экземплярах на официальный адрес Заказчика (Этап 3) | ТЗ п. 5 | бумага (почта/курьер) |
| — | ждём событие | Передать отчётную документацию в бумажном виде в 2 экземплярах на официальный адрес Заказчика (Этап 4) | ТЗ п. 5 | бумага (почта/курьер) |
| — | ждём событие | Передать Заказчику ссылку для скачивания комплекта эксплуатационной документации (Руководство пользователя, Руководство администратора РЦОД) (Этап 1) | ТЗ п. 5 | официальное письмо |
| — | ждём событие | Передать Заказчику ссылку для скачивания комплекта эксплуатационной документации (Руководство пользователя, Руководство администратора РЦОД) (Этап 2) | ТЗ п. 5 | официальное письмо |
| — | справочно · ждём событие | Приемка Заказчиком: подписание документа о приемке либо мотивированный отказ (5 рабочих дней с даты поступления документа о приемке в ЕИС) (Этап 1) | Контракт разд. 4 | ЕИС |
| — | справочно · ждём событие | Приемка Заказчиком: подписание документа о приемке либо мотивированный отказ (5 рабочих дней с даты поступления документа о приемке в ЕИС) (Этап 2) | Контракт разд. 4 | ЕИС |
| — | справочно · ждём событие | Приемка Заказчиком: подписание документа о приемке либо мотивированный отказ (5 рабочих дней с даты поступления документа о приемке в ЕИС) (Этап 3) | Контракт разд. 4 | ЕИС |
| — | справочно · ждём событие | Приемка Заказчиком: подписание документа о приемке либо мотивированный отказ (5 рабочих дней с даты поступления документа о приемке в ЕИС) (Этап 4) | Контракт разд. 4 | ЕИС |
| — | ждём событие | Устранить недостатки, указанные в мотивированном отказе, и повторно направить документ о приемке (срок устанавливает Заказчик, но не более 5 рабочих дней) (Этап 1) | Контракт разд. 4 | ЕИС |
| — | ждём событие | Устранить недостатки, указанные в мотивированном отказе, и повторно направить документ о приемке (срок устанавливает Заказчик, но не более 5 рабочих дней) (Этап 2) | Контракт разд. 4 | ЕИС |
| — | ждём событие | Устранить недостатки, указанные в мотивированном отказе, и повторно направить документ о приемке (срок устанавливает Заказчик, но не более 5 рабочих дней) (Этап 3) | Контракт разд. 4 | ЕИС |
| — | ждём событие | Устранить недостатки, указанные в мотивированном отказе, и повторно направить документ о приемке (срок устанавливает Заказчик, но не более 5 рабочих дней) (Этап 4) | Контракт разд. 4 | ЕИС |
| — | справочно · ждём событие | Оплата Заказчиком (7 рабочих дней с даты подписания документа о приемке) (Этап 1) | Контракт п. 3.4 | — |
| — | справочно · ждём событие | Оплата Заказчиком (7 рабочих дней с даты подписания документа о приемке) (Этап 2) | Контракт п. 3.4 | — |
| — | справочно · ждём событие | Оплата Заказчиком (7 рабочих дней с даты подписания документа о приемке) (Этап 3) | Контракт п. 3.4 | — |
| — | справочно · ждём событие | Оплата Заказчиком (7 рабочих дней с даты подписания документа о приемке) (Этап 4) | Контракт п. 3.4 | — |
| — | по необходимости | Письменно уведомить Заказчика о привлечении соисполнителей | Контракт разд. 7 | официальное письмо |
| — | по необходимости | Устранить недостатки, выявленные в процессе оказания услуг, по требованию Заказчика (10 дней с момента получения требования, если срок не установлен) | Контракт разд. 8 | официальное письмо |
